route_long_name,Str. Unirii - Polus Center
service_name,Luni-Vineri
service_start,08.01.2018
in_stop_name,Disp. Unirii
out_stop_name,POLUS
05:30,06:05
06:10,06:40
06:25,07:01
06:40,07:15
07:15,07:50
07:35,08:15
07:54,08:35
08:10,08:50
08:30,09:08
08:45,09:23
09:00,09:38
09:12,09:50
09:24,10:02
09:36,10:14
09:49,10:26
10:02,10:39
10:15,10:52
10:27,11:04
10:40,11:17
10:52,11:29
11:05,11:42
11:18,11:55
11:31,12:08
11:43,12:21
11:56,12:34
12:08,12:46
12:21,12:58
12:34,13:11
12:47,13:24
13:00,13:37
13:12,13:50
13:24,14:03
13:36,14:16
13:48,14:29
14:00,14:41
14:11,14:52
14:22,15:04
14:34,15:16
14:46,15:28
14:58,15:40
15:10,15:52
15:22,16:04
15:34,16:16
15:46,16:28
15:58,16:40
16:10,16:52
16:22,17:04
16:34,17:16
16:46,17:28
16:58,17:40
17:10,17:53
17:22,18:06
17:34,18:18
17:46,18:30
17:58,18:42
18:10,18:54
18:22,19:06
18:36,19:18
18:50,19:30
19:03,19:42
19:16,19:54
19:29,20:06
19:42,20:18
19:54,20:30
20:06,20:42
20:18,20:55
20:30,21:08
20:45,21:23
21:00,21:38
21:15,21:55
21:30,22:10
21:45,22:25
22:05,22:40
