route_long_name,Str. Bucium - Str. Aurel Vlaicu
service_name,Luni-Vineri
service_start,08.01.2018
in_stop_name,Disp. Clabucet
out_stop_name,Disp. IRA
04:30,04:30
04:59,05:02
05:09,05:14
05:19,05:26
05:29,05:38
05:39,05:50
05:49,06:01
05:59,06:06
06:10,06:12
06:18,06:21
06:25,06:30
06:35,06:36
06:40,06:42
06:45,06:52
06:50,07:00
06:55,07:08
07:00,07:13
07:05,07:18
07:10,07:23
07:15,07:28
07:20,07:33
07:25,07:38
07:30,07:44
07:35,07:50
07:40,07:56
07:45,08:02
07:51,08:08
07:57,08:13
08:03,08:19
08:09,08:25
08:15,08:31
08:20,08:37
08:25,08:44
08:31,08:50
08:37,08:55
08:43,09:00
08:49,09:06
08:55,09:12
09:02,09:18
09:08,09:24
09:15,09:30
09:23,09:37
09:29,09:43
09:36,09:50
09:44,09:58
09:51,10:04
09:58,10:11
10:05,10:19
10:12,10:26
10:19,10:33
10:25,10:40
10:32,10:47
10:38,10:54
10:46,11:00
10:52,11:07
10:58,11:13
11:06,11:21
11:13,11:27
11:19,11:33
11:26,11:41
11:34,11:48
11:41,11:54
11:48,12:01
11:55,12:09
12:02,12:16
12:08,12:23
12:16,12:30
12:23,12:37
12:29,12:43
12:36,12:51
12:43,12:56
12:51,13:01
12:58,13:06
13:05,13:12
13:12,13:18
13:18,13:26
13:25,13:33
13:32,13:40
13:38,13:47
13:44,13:53
13:49,14:00
13:54,14:07
14:00,14:13
14:06,14:19
14:12,14:24
14:18,14:29
14:24,14:35
14:30,14:41
14:36,14:47
14:42,14:53
14:48,14:59
14:54,15:05
14:59,15:11
15:04,15:17
15:10,15:23
15:16,15:29
15:22,15:34
15:28,15:39
15:34,15:45
15:40,15:51
15:46,15:57
15:52,16:04
15:58,16:09
16:04,16:15
16:09,16:21
16:14,16:27
16:20,16:33
16:26,16:39
16:32,16:46
16:38,16:53
16:44,17:00
16:50,17:07
16:56,17:13
17:02,17:19
17:08,17:25
17:14,17:31
17:22,17:37
17:30,17:43
17:38,17:50
17:46,17:57
17:53,18:05
18:00,18:13
18:07,18:21
18:15,18:28
18:23,18:35
18:31,18:42
18:39,18:50
18:46,18:58
18:53,19:06
19:00,19:14
19:07,19:21
19:14,19:28
19:21,19:35
19:28,19:42
19:35,19:49
19:42,19:56
19:50,20:03
19:59,20:11
20:08,20:20
20:17,20:29
20:26,20:38
20:35,20:47
20:45,20:56
20:55,21:05
21:05,21:15
21:15,21:25
21:25,21:35
21:35,21:45
21:46,21:55
21:58,22:05
22:10,22:15
22:23,22:26
22:35,22:38
22:45,22:50
